Name,ID#
Kurt Knudsen,1007064
Dale Thayer,5032
Fred Blanding,1001045
Brad Ziegler,7293
Carroll Yerkes,1014339
Scott Munninghoff,1009324
John Upham,1013289
Ted Wills,1014054
Buzz Dozier,1003470
Sam Jones,1006590
Charlie Wheatley,1013824
Don Stanhouse,1012401
Brad Penny,535
Mike Sullivan,1012708
Myrl Brown,1001548
Jake Freeze,1004329
Harry Maupin,1008277
Harry Eccles,1003656
Tom Murphy,1009376
Dave Davidson,4929
Jamie McAndrew,1008327
Guy Morton,1009232
Heath Murray,1510
Jack Compton,1002488
Nub Kleinke,1006994
J.C. Ramirez,8302
Arnold Leon,5595
DeWayne Wise,1554
Runelvys Hernandez,1528
Deke White,1013861
Gerald Alexander,1000124
Bob Terlecki,1012919
Gene Rounsaville,1011246
Art Stokes,1012558
Harry Biemiller,1000952
Bill Werle,1013786
Kevin Slowey,9918
Bert Humphries,1006182
Stuart Pomeranz,6382
Willie Garoni,1004542
Frank Kitson,1006981
Joe Muir,1009288
Guy Hecker,1005573
Sam McMackin,1008627
Minnie Rojas,1011154
Andrew Schugel,11432
Rex Barney,1000571
Clyde King,1006925
Tom Sheehan,1011848
Jason Hammel,4538
Ed Sukla,1012676
Marcos Carvajal,3216
Jeff Jones,1006566
Fernando Valenzuela,1013327
Mitch Chetkovich,1002181
Jonny Gomes,1845
John McCloskey,1008399
Bill Froats,1004370
Dave Rowe,1011252
Fred Johnson,1006457
Jack Lamabe,1007266
Elmer Jacobs,1006320
Frank West,1013803
Rick Reed,750
Julio Solano,1012266
Claudio Vargas,1695
Pedro Ramos,1010681
Rocky Colavito,1002404
Jim Britt,1001450
Mark Clark,1002296
Ben Hunt,1006192
Brendan Ryan,6073
Morrie Critchley,1002779
Dutch Leonard,1007532
Don Kelly,2216
Scott Chiasson,269
Jose Martinez,1008180
Bob Sebra,1011709
Hans Rasmussen,1010705
Dizzy Sutherland,1012738
Ralph Caldwell,1001831
Tom Fisher,1004099
Clem Llewellyn,1007680
Brad Lesley,1007557
Ramon Hernandez,1005710
Tom Griffin,1005054
Andrew Carpenter,9533
George Dockins,1003347
Henry Mathewson,1008238
Rip Collins,1002463
George Rettger,1010847
Kevin Brown,1001535
Jerry Stephenson,1012494
Bill Whitby,1013849
Fred Wigington,1013934
Hal Smith,1012154
Gordie Mueller,1009279
Henry Sosa,6936
Ernie Groth,1005094
Al Lary,1007363
Jeurys Familia,5114
Pat Zachry,1014407
Tim Corcoran,2351
Phil Clark,1002302
Pryor McBee,1008338
Tom Newell,1009532
Frank Okrie,1009757
Frank Wyman,1014307
Hugh Daily,1002934
Mike Jeffcoat,1006378
Nels Potter,1010471
Jim Garry,1004555
Peter Moylan,4891
Pat House,1006062
Ed Hawk,1005512
Orel Hershiser,1005741
Grover Lowdermilk,1007784
Harry Brooks,1001471
Lefty Wilkie,1013958
Gary Waslewski,1013661
Kent Tekulve,1012905
Geno Espineli,7405
Crazy Schmit,1011578
Slim Sallee,1011385
Atlee Hammaker,1005281
 Edwards,1003682
Randy Sterling,1012504
Roland de la Maza,1003161
Juan Nicasio,7731
Chris Reitsma,348
Rudy Arias,1000300
Garrett Stephenson,1185
Dave Vineyard,1013430
Johnny Podres,1010406
Scott Stratton,1012603
Joe Murphy,1009366
Luke Hudson,1542
Rube Walberg,1013501
Rick Dempsey,1003203
Harvey Branch,1001341
David Phelps,6316
Phil Dumatrait,8598
Warren Bogle,1001125
Bob Long,1007728
Oscar Munoz,1009330
Mickey Storey,4721
Jeremy Fikac,1031
Ray King,693
John Rocker,1273
Edward Mujica,3970
Les Barnhart,1000579
Tim Drummond,1003514
Buck Marrow,1008130
Jesse Duryea,1003599
LaTroy Hawkins,729
Jim Lewis,1007582
Jacob Turner,10185
Ricardo Jordan,1006616
Kirk Rueter,1128
Robbie Ray,11486
Alex Ferson,1004017
Rene Valdez,1013317
Dylan Bundy,12917
Ray Semproch,1011744
Tim Kubinski,1007191
Tom Jacquez,1006332
Angel Nesbitt,13415
Harry Eisenstat,1003717
Bobby Herrera,1005719
Ed Brown,1001513
Travis Blackley,3234
Jose Roman,1011166
Edwin Jackson,1841
Jack Cressend,723
Walt Herrell,1005725
Buck Washer,1013653
Jimmy Key,1006885
Jake Evans,1003866
Sam McConnell,2355
Irv Higginbotham,1005790
Aaron Sanchez,11490
Boardwalk Brown,1001494
Cliff Melton,1008755
Jim Powers,1010499
Dick Mulligan,1009299
Aaron Thompson,999
Ed Gallagher,1004450
Daniel Cabrera,1931
Bob Galasso,1004441
Mike Cvengros,1002916
Brian Burres,3425
Robert Dodd,1003349
Hal Schwenk,1011662
Jim Beattie,1000731
Trevor Cahill,6249
Gene Walter,1013587
Glenn Gardner,1004524
Ted Conovar,1002539
Ed Doheny,1003356
Cowboy Jones,1006542
Duke Sedgwick,1011714
Brandon Finnegan,16208
Eddie Matteson,1008251
Kevin McGlinchy,1008531
Ichiro Suzuki,1101
Roy Radebaugh,1010635
Hooks Iott,1006270
Fred Klobedanz,1007014
Roger McDowell,1008475
George Bausewine,1000692
Weldon Wyckoff,1014305
Cy Vorhees,1013455
Nixey Callahan,1001847
Bert Hall,1005233
Warren Brusstar,1001599
Fred Besana,1000920
Brandon League,3731
Steve Crawford,1002749
Sam Weaver,1013705
Carl Willis,1013979
Chris Nichting,1414
Juan Abreu,6306
Joe Horlen,1006025
Dolf Luque,1007843
Harvey Freeman,1004318
Harry Billiard,1000969
John Snyder,1012253
Justin Nicolino,11754
Joe Poetz,1010408
Fred Olmstead,1009786
Beany Jacobson,1006317
Jim Johnson,1006468
Zaza Harvey,1005471
Doc Tonkin,1013117
Duke Maas,1007894
Brett Merriman,1008785
Bill Evans,1003862
Ed Buckingham,1001620
Mike Rowland,1011261
Kip Gross,1005089
Mike Morgan,67
Joe Samuels,1011399
Howie Nunn,1009662
Allan Collamore,1002442
Ryan Cook,8855
Bill Laxton,1007411
Matt White,1720
Donne Wall,39
Esmerling Vasquez,5280
Gary Jones,1006557
Herb McQuaid,1008677
Melvin Bunch,1001651
Brian Slocum,4705
Peaches Graham,1004933
Dick Colpaert,1002473
Rich Rundles,2760
Vicente Amor,1000213
Ed Springer,1012361
Nestor Chavez,1002169
Colter Bean,2246
Hank Gastright,1004569
Ryan Franklin,1076
Steve Wojciechowski,1014181
Mark Hamburger,5329
Greg Cadaret,1001810
Jim Stump,1012651
Yasuhiko Yabuta,3277
Bill Upham,1013288
Amauri Sanit,5436
Bill Henry,1005666
Justin Germano,1938
Don Mossi,1009250
Bob Harris,1005400
Ernie Mason,1008218
Dale Mohorcic,1009034
Marty Walker,1013526
Cedrick Bowers,3293
Ray Lamb,1007278
Jim Otten,1009901
Mike Aldrete,1000114
Dick Marlowe,1008114
J.D. Smart,1012081
Sean Doolittle,1581
Dave Keefe,1006740
Henry Villar,5360
Lefty Hopper,1006021
John McMullin,1008649
Norman Glaser,1014469
Irish McIlveen,1008567
Milt Watson,1013680
Don Arlich,1000302
Bill Murphy,4755
Mike Fornieles,1004232
Chuck James,4886
Reid Cornelius,1002634
Bill Bordley,1001200
Rosy Ryan,1011349
Al Worthington,1014260
George Zackert,1014408
Sergio Romo,9817
Al Huenke,1006143
Ron Keller,1006781
Seth McClung,1657
Lou Schettler,1011557
Carlos Almanzar,308
Johnny Morrison,1009217
Joe Kerrigan,1006873
Ted Welch,1013760
Phil Seibel,1905
Santiago Guzman,1005163
Jason Jennings,434
Ren Deagle,1003099
Mike Zagurski,9683
Jason Waddell,3474
Dan O'Brien,1009688
Ron Robinson,1011076
Dave Morey,1009169
Masa Kobayashi,3276
Santo Alcala,1000110
Gene Lansing,1007333
The Only Nolan,1009618
George Diehl,1003286
Steve Finley,54
Charlie Abbey,1000007
Nick Bierbrodt,1194
George O'Donnell,1009729
Mike Gosling,2204
Jack Bentley,1000852
Fay Thomas,1012973
Neil Weber,1013717
Enrique Romo,1011175
Dizzy Dean,1003106
Steve Brown,1001561
Jon Perlman,1010197
Jeff Sellers,1011733
Pat Tobin,1013092
Larry Boerner,1001117
Roy Smith,407
Aurelio Lopez,1007753
Kevin Bearse,1000724
Ed Donalds,1003377
Brian Schlitter,3599
Phil Stockman,2206
Jack Pfiester,1010266
Alex White,10054
Larry Bearnarth,1000723
Derek Botelho,1001224
John Strohmayer,1012626
Paul Giel,1004681
Kevin Quackenbush,12360
Don Florence,1004168
Rudy Schwenck,1011664
Oliver Drake,8823
Amby Murray,1009380
Ed Fisher,1004084
Rick Kester,1006880
Bob Spade,1012298
Ty Taubenheim,5561
Art Herman,1005690
Bill Salisbury,1011381
Cy Barger,1000541
Brett Oberholtzer,3855
Ray Collins,1002462
Chappie McFarland,1008489
Tommy Byrne,1001801
Mark Mulder,932
Len Madden,1007943
Chris Britton,3600
Jose De Paula,5744
Larry Sherry,1011883
Brent Knackert,1007025
Kevin Walker,1060
Bill Pfann,1010261
Frank Seminara,1011743
Frank Meinke,1008734
Pinky Woods,1014242
Doug Slaten,3107
Bill Herring,1005727
Wilbur Wood,1014248
Harry Colliflower,1002453
Charlie Dewald,1003256
Orber Moreno,617
Ed Hodge,1005882
Bob Gillespie,1004708
Juan Pizarro,1010382
Glenn Spencer,1012323
Harry Heitmann,1005606
Jack Taschner,2766
Roger Smithberg,1012203
Yoshinori Tateyama,11651
Ken Weafer,1013691
George Winkelman,1014135
Hugh Canavan,1001905
Dick Starr,1012433
Al Holland,1005947
Bill Kling,1007006
Bill Trotter,1013193
Ray Scarborough,1011496
Steve Comer,1002482
Andy Rincon,1010970
Clarence Beers,1000775
B.J. Rosenberg,7183
John Edelman,1003667
Charlie Bartson,1000635
Felix Diaz,1932
Johnny Hetki,1005752
Jean-Pierre Roy,1011267
Greg Swindell,76
Jack Quinn,1010605
Barney Martin,1008153
Carl Doyle,1003457
Darren Clarke,8226
Harry Courtney,1002678
Gary Ross,1011230
Chris Capuano,1701
Masahiro Tanaka,15764
Ralph Citarella,1002248
Rob Woodward,1014249
Masanori Murakami,1009336
Shigetoshi Hasegawa,1082
Bill Clemensen,1002331
Bill Burbach,1001654
Mal Eason,1003636
Jim Wilson,1014089
Alberto Gonzalez,4906
Jimmy Wiggs,1013932
J.P. Howell,8245
Bill Powell,1010481
Brian Drahman,1003476
Biggs Wehde,1013728
Harry Patton,1010077
Fred House,1006058
Chris Welsh,1013772
Tom Dukes,1003545
Daniel Coulombe,13293
Andy Marte,3203
Rip Hagerman,1005198
Paul Dean,1003110
Ted Olson,1009796
Todd Williams,805
Jesus Sanchez,1476
Harry McIntire,1008571
Tom Glavine,90
T.J. House,9121
Ed Stein,1012464
Ray Shore,1011928
Bob Whitcher,1013850
Dick Rozek,1011272
Jason Jacome,1006330
Salomon Torres,1628
Hal Elliott,1003739
Cy Pieh,1010323
Mike Henneman,1005656
Dutch Romberger,1011170
Luke Putkonen,6736
Josh Tomlin,9388
Jimmy Nelson,10547
Nate Karns,12638
Ribs Raney,1010696
David Riske,402
Ken Forsch,1004234
Josh Sharpless,5567
Izzy Leon,1007541
Roy Walker,1013531
George Hunter,1006201
John McPherson,1008676
Joe Gleason,1004769
Jim Neidlinger,1009487
